"symbol","timeframe","strategy","params","lot","max_trades_day","max_daily_loss_pct","max_total_loss_pct","daily_gain_target","execution","real_orders","status","dataset"
"USDCAD","H1","EMA_CROSS","21,55","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv"
"XAUUSD","D1","EMA_CROSS","9,34","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_D1_raw.csv"
"USDCAD","H1","EMA_CROSS","13,55","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv"
"XAUUSD","M30","SMA_CROSS","20,50","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M30_raw.csv"
"EURUSD","D1","EMA_CROSS","9,34","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_D1_raw.csv"
"NZDUSD","M15","EMA_CROSS","21,55","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv"
"UK100","M15","SMA_CROSS","20,50","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M15_raw.csv"
"USDCHF","M15","SMA_CROSS","13,55","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M15_raw.csv"
"NZDUSD","M15","SMA_CROSS","13,55","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv"
"USDJPY","D1","EMA_CROSS","9,34","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_D1_raw.csv"
"GER40","H4","SMA_CROSS","13,55","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_H4_raw.csv"
"USDJPY","H1","SMA_CROSS","9,34","0.01","2","1","5","OFF","PAPER_ONLY","FORBIDDEN","FTMO_PRETEST_CANDIDATE","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_H1_raw.csv"
